adjusted_job,job,detail,工资,经验要求,学历,公司名称,公司阶段,公司规模,公司领域
运营岗,准入运营岗,岗位职责：1）负责客户的商业政策信息建立、合同签订、合同续约、客户退出等相关流程的处理，有效跟踪流程节点，协调内外部资源，做好相关工作；2）负责客户的分级管理，完成销售预测、销售达成追踪等事项，监测准入率、订单转化率、指标达成情况；3）负责对接经销商获取首营准入资质文件、背调，对客户资质完整性、背调合规性负责； 4）负责跟进国科静态/动态数据管理系统，完成客户数据创建，包括不限于销售关系、授权押金等系统配置维护；5）根据客户要求输出对院首营准入资料文件；6）对接客户完成网采配送授权切换。其他：完成部门领导安排的其他工作任职要求：具备较强的独立工作能力，善于与人沟通、善于团队协作；具备较强的工作责任心，工作积极，抗压能力好可适应短期出差,7-8K,1-3年,大专,国科恒泰,已上市,1000-9999人,医疗健康
运营岗,计划运营岗,"1.项目业务管理和运营统筹，协助业务牵头人跟进重点工作的落地与目标达成；2.跟进公司各部门年度\月度重点工作达成，依据运营考核制度支持落地，确保战略方向的一致性；3.负责公司各级重要会议的筹划与组织，跟进会议决议执行，如月度运营会议、联合会、评审会、各类专项会议等；4.对接集团级、BG级和公司级重大事项，通过与各级业务牵头人及骨干的沟通，开展工作汇报，推动工作落地。【个人技能】1. 具备较好的公文写作能力;2. 熟练使用各类办公软件,精通PPT制作;3. 有良好的自驱力，善于沟通，工作积极主动，责任心强，具备良好的团队协作能力。",8-12K·13薪,3-5年,本科,万物云,已上市,10000人以上,物业管理
运营岗,新媒体运营岗,岗位职责：1.主要负责抖音、小红书、微信公众号运营，公司品牌建设和宣传。2.深刻理解各类新媒体平台规侧和玩法，负责新媒体渠道的账号搭建、定位和内容策划、并落地执行，利用后台数据分析问题，及时优化改进方案。3.负责收集、整理线上推广和直播业务的相关技术、要求、规则、数据整理和分析等，负责对接和管理公司线上营销业务的相关合作方。4.负责对不同新媒体渠道引流过程的路径设计、实操(抖音/小红书/微信/直播/本地生活等)。5.项目官网搭建、第三方渠道阶段性推广引流。6.对所负责传播渠道流量运营、设计出转化路径与执行方案。7.负责公司品牌建设规划，制定运营年度经营目标、费用预算及月度计动。8.公司临时安排的其他工作。任职要求：1.统招本科及以上学历，新闻传播类、文学类、广告学、财经金融类、市场营销等专业优先；2.文字功底扎实，表达能力强，网感好，对热点敏锐；3.对互联网、新媒体感兴趣，熟悉抖音、快手、公众号视频号等平台，了解其运营规则的优先；4.较好的团队合作能力、学习能力和沟通能力。5.有良好的创意能力、社交化语言文案能力，有新媒体种草打造爆款的成功经验。,8-13K,1-3年,本科,,,,
运营岗,新媒体赋能运营岗(J11291),工作职责:1、设计并实施新媒体运营培训课程，包括但不限于账号运营逻辑、内容创作、数据分析等方面；2、提供新媒体平台的实践指导SOP，帮助新入网门店掌握有效的新媒体运营策略；3、制定培训计划，确保课程内容与终端门店所处层级保持同步，并及时更新培训材料；4、跟踪培训效果，收集反馈，不断优化培训课程，提高培训质量；5、关注新媒体行业和自身企业产品发展动态，保持对市场趋势的敏感性，为培训内容的更新提供建议。任职资格:1、3年以上新媒体运营经验，熟悉各大社交媒体平台；2、有新媒体产品投放经验，有抖音本地通投放或本地通团队从业经验者优先；3、具备良好的沟通表达能力、提炼总结能力，能够提炼运营经验，清晰有效地进行教学；4、具备培训设计和实施的经验，能够制定系统性的培训计划和教材；5、熟悉了解汽车行业新媒体玩法。,13-26K·15薪,5-10年,本科,北汽新能源,已上市,1000-9999人,汽车研发/制造
运营岗,活动运营岗,岗位职责：1、负责平台大促的策划及活动组织，具备良好的用户洞察力及行业视野，结合用户购物需求变化、行业竞对及自身竞争优势等，完成大促活动规划，带动生意增长。2、负责平台级大促活动玩法策划及落地，结合自身供给特性及用户偏好，设计可拉动大盘参与、带动生意增长的大促活动玩法。3、负责承担活动落地过程中的B、C端参与链路设计及落地执行，包括toC端会场、资源及其他触点设计，提供良好的参与及购物体验；toB端规则及报名后台设计，确保服务运营目标，同时保证规则传递明确、B端参与高效、体验良好。任职要求：1、具备良好的数据思维及逻辑思维，能做到基于场景及目标提出分析思路，并结合分析结果制定运营策略、提出解决方案。2、具有敏锐的市场触觉，市场发展趋势研究分析能力，有良好的消费者洞察能力。3、具备较好的产品运营思维，有能力将运营策略、玩法等以产品化的形式执行落地。5、耐心并注重细节，适应能力强、良好的沟通表达能力，对工作充满热情，富有责任心，良好的团队合作精神。,20-40K·16薪,3-5年,本科,京东集团,已上市,10000人以上,电子商务
运营岗,老客运营岗,岗位职责：1、根据用户生命周期及核心场景特点，搭建用户留存、召回运营体系； 2、结合细分场景， 挖掘业务增长机会点，推动建立营销工具、营销权益，提升在场景内的业务转化效率； 3、洞察用户，对已有流量触点、日常运营活动数据，进度效果监测、归因，寻找到增长迭代机会点。岗位要求：1、本科及以上学历，2年以上互联网用户运营相关经验；2、逻辑清晰，有敏锐的业务意识，较强的自驱力，以目标结果为导向，有团队协作意识，能够积极推动业务合作落地； 3、能够独立操盘项目，有较强的策略能力和数据敏感度，逻辑思维能力强，资源整合能力佳； 4、具有良好的沟通、谈判能力，跨部门共建能力。,15-30K,经验不限,本科,东方甄选,未融资,1000-9999人,互联网
运营岗,抖音运营岗,岗位职责：1.负责店铺日常运营管理；2.负责每月店铺的活动、推广方案规划及执行跟进；3.策划店铺直播业务；4.维护平台运营日常关系，与设计共同完成店铺、商品的视觉优化；5.分析店铺顾客购买行为，执行会员营销计划，优化顾客服务体验；6.熟悉平台营销工具，能完成实操运用；任职要求：1.专科及以上学历，电商或黄金珠宝相关专业；2.熟悉电子商务业务，有两年以上天猫、抖音平台运营的工作经验；3.具有优秀的数据分析能力、活动策划能力、页面审美能力4.具有较好的沟通能力、学习能力、适应能力、承压能力及执行力；5.具有积极主动、乐观奋斗、团队协作的职业价值观6.具有强烈的责任心与工作激情、具备团队协作精神、独立工作能力和人际沟通能力；7.适应电商工作、身体健康；,6-10K,经验不限,大专,菜百电商,未融资,20-99人,电子商务
运营岗,产品运营岗,一、职位概述作为产品运营岗位，主要负责内部结算产品的优化和改进，提高集团层面服务体验，降低结算风险。二、岗位职责1、深入内部结算产品应用场景，持续迭代沉淀业务逻辑；2、持续提升运营效率，洞察产品和流程痛点，找到关键问题；3、管理产品迭代需求池，协同产品经理输出产品解决方案；4、对接集团财务、流程、招采等协同部门，做好流程合规控制；5、负责需求文档编写，定期输出BRD。三、任职要求1、本科及以上学历，3年及以上工作经验；2、善于抽象总结，具备较强的结构化思维、洞察问题本质的能力；3、熟练绘制流程图、时序图、用例图等UML图，编写产品运营文档；4、具有支付结算、涉税服务、财务流程、以及TOB运管系统建设经验优先；5、具有产品相关工作经验优先；6、具有软考、PMP等资格认证优先。,20-30K·16薪,经验不限,本科,京东科技集团,不需要融资,1000-9999人,互联网
运营岗,结算运营岗,负责电商结算运营工作：上下游业务及银行间的对账、差错处理（应收、应付等），跟踪结算异常情况，可以协调相关方推进问题落地解决。1、本科及其以上学历，财务、经济信息管理类专业优先；2、1-3年财务结算相关工作经验，有电商或复杂账目结算经验优先；3、善于沟通、能独立解决问题；4、有大型互联网公司工作经验者优先。,8-9K,1-3年,本科,,,,
运营岗,京东物流招聘供应链专员,工作内容：1、 针对商家业务现状进行调研，深入研究行业客户业务流程及业务模式，形成调研报告及总结； 2、 协同项目组输出运营解决方案，并且与产品经理合作梳理供应链业务逻辑，共同推动供应链系统产品落地； 3、 负责客户供应链项目落地，项目运营体系搭建、各模块业务流程梳理及相关文档编写；及该项目核心模块进销存计划管理、库存管理、供应链协同几个方面的流程梳理及优化；负责供应链管理系统业务逻辑的梳理及更新迭代； 4、 对落地运营项目核心KPI、运营质量负责； 5、 与客户保持密切沟通，了解客户的需求和行业动态，针对系统产品及运营模式提出意见和建议，并推动产品的不断优化迭代，提高商家体验和供应链产品口碑； 6、 负责项目组内运营人员技能及专业知识、业务逻辑及流程、系统逻辑及流程相关培训，不断提升供应链运营效率；任职资格： 1. 供应链管理、管理类、物流专业本科及以上学历； 2. 5-8年以上相关行业计划管理、库存管理经验（有相关供应链管理系统搭建、业务逻辑设计经验优先）； 3. 具备良好的效率提升及成本优化理念，判断决策能力、计划与执行能力，流程优化及系统优化意识强； 4. 较强的数据分析能力、学习能力、创新能力； 5. 品德优良、坚守原则、有较高的职业道德和标准，诚信务实； 6. 良好的团队合作精神、耐心，沟通、合作意识强、吃苦耐劳及抗压能力强； 7. 熟练使用办公软件，word、excel、PPT等； 8. 大公司经验优先； 9. 有团队管理经验优先（4-5人以上团队）原标题：《计划运营岗》,20-40K·16薪,5-10年,本科,京东物流,已上市,10000人以上,快递
