job,专业,性格,软件技能,工作内容,品质
内容运营（电商）,"电商
专业: 无
性格: 有内容垂类经验，用户为主，交易导向
软件技能: 无
工作内容: 社区内容规划、策划和运营
品质: 沟通能力强，逻辑性强，善于交流",无,无,无,无
内容运营 欢迎应届生,新媒体，数字媒体，广告类等相关专业的毕业生优先考虑,活泼外向,小红书,1.负责美食账号的小红书后台运营，数据整理和汇总汇报,学习能力强，做事仔细，认真负责，自驱力强，执行力强
小红书内容运营,"小红书内容运营
无",活跃、有创意,小红书、短视频后期,撰写产品推广方向、拍摄和后期工作、跟踪平台热点动态、完成其他领导安排相关工作,主动性强、责任心强、耐心细致、协调能力强、善于团队协作、善于沟通
新媒体内容运营,"新媒体内容运营
[无",无,小红书运营、抖音短视频运营,提升品牌影响力、推动电商营销,学习能力、责任心强]
"内容运营
[无",无,无,1、根据公司的市场战略和营销活动节点，结合流行趋势和社会时下热点，输出策划相关内容；2、跟踪内容的点击转化效果，分析数据并反馈，优化内容，持续提升内容质量；3、跨团队合作，协同设计、产品、运营、广告等团队，覆盖更多内容输出场景，灵活调整，持续优化相关策略；,适应性强、善于沟通、分析能力强,"无]
"
市场部内容运营实习生,"市场部内容运营实习生
[新闻、语言文学、英语等相关专业",学习能力强，执行力强,微信公众号、知乎、视频剪辑软件,内容输出、日常运营、文案脚本和剪辑、活动策划与落地,社交平台重度用户，有良好的审美]
内容运营,无,积极主动、外向、善于沟通,图片拍摄&处理、小红书文案撰写,P图、沟通能力、学习能力,审美、愿意接收新的事物
内容运营专员,"内容运营专员
[新闻传播、中文、广告","承压能力强, 工作积极主动, 具有强烈的团队协作精神",微信公众号、今日头条、B站,内容输出与营销活动策划与执行,"文字功底, 编辑运营新媒体场景实战经验]"
个人IP类短视频+内容运营+账号运营,[无,积极乐观,视频编辑软件,参与内容选题会，输出短视频选题和视频内容文案，给到短视频运营建议，日常运营视频号，抖音，小红书账号，回复消息，促活账号,沟通能力，创意思维]
内容运营实习生,"内容运营实习生
[新闻/广告/市场营销等专业",思维活跃，有创意，沟通能力强、执行力强，有好奇心,小红书平台内容运营经验，文案能力，P图能力,输出内容方向写brief，整合和建立适合线上新媒体资源库，对新媒体投放的效果进行总结分析,社交媒体重度爱好者，审美在线，学习能力强]
"新媒体内容运营
[编辑、出版、中文等相关专业优先",优秀沟通、提炼、谈判能力,懂发布笔记违规限流词,日常内容选题、采编、原创内容生成，制定热点趋势约稿计划，建立并拓展作者资源库，对市场需求进行分析，根据平台内容运营规划,数据分析能力、具有良好的跨部门协作、团队合作、抗压能力,有知识付费行业工作经验优先，有生财有术圈友优先]
短视频内容运营,"短视频内容运营
[无",创意、执行力,剪映等剪辑软件,短视频内容创作、全付费投放、过审和账户有效消耗提高,执行力、创意思维、学习能力]
内容运营（跨境电商）,"内容运营（跨境电商）
[无",善于总结、有一定的写作能力,无,收集并整理行业热点、新闻报道、行业干货等、参与线上线下活动的文案拟定、软文等撰写以及活动实施工作、协助公司产品部门的课程包装工作、协助运营进行社群答疑工作,抗压能力强、务实、进取、能吃苦]
